Population,Area,Anti-Social Behaviour,Burglary,Robbery,Vehicle Crimes,Violent Crimes,Shoplifting,Criminal Damage & Arson,Other Theft,Drugs,Other Crimes,Bike Theft,Weapons
61167,"4,180.71",8169,1362,96,1176,4512,942,2464,1619,737,310,331,127
96468,"124,158.29",14763,2376,58,1295,7086,2731,5543,2680,1198,487,224,142
122313,"26,538.48",23017,3621,154,2845,5978,3179,4971,3658,1251,440,222,172
149529,"22,070.82",21552,3417,234,3235,12194,4346,6364,4809,1505,831,1159,350
119509,"10,955.69",18713,4959,315,4048,10670,3642,6270,4542,1133,655,597,273
117942,"58,061.67",10066,4154,299,2705,11672,3709,5873,5072,809,595,989,145
174057,"90,275.35",12882,3992,239,4642,10159,3938,5473,5154,1583,902,795,270
87643,"59,377.66",7671,2629,44,2009,5667,1165,3120,2228,719,407,172,82
185974,"3,609.04",28236,8626,2980,11659,24932,4090,8478,10231,4162,1186,1059,390
356064,"8,673.72",42659,18554,3074,18481,28270,6707,10134,18577,4039,1785,1138,491
230498,"32,905.31",57531,10064,612,8898,19831,7880,14216,10697,2965,1502,604,516
69105,"7,796.05",18013,1545,78,803,7897,2172,4436,2049,956,415,363,185
174571,"11,002.46",30849,9370,851,9640,17994,5728,9750,6737,2496,1093,972,476
167791,"63,380.74",25550,4680,345,3377,11358,4453,7300,4628,2282,883,874,411
112863,"63,787.08",15865,5468,199,5291,9280,3898,5468,5386,868,666,622,235
175710,"34,574.08",24734,4099,291,3226,11931,5080,5902,5680,1367,436,868,119
156619,"47,641.20",30044,5309,613,5350,14048,5520,7069,6182,1784,594,2080,358
231935,"6,055.95",23816,6893,1151,9048,17675,4328,7650,7661,2979,1157,596,281
1070912,"26,778.82",145338,46635,15212,58311,104124,35890,50334,44828,13247,6316,6545,3264
93808,"13,046.66",6987,3511,109,4648,4295,2223,3493,3556,384,432,382,89
147382,"13,701.18",45386,6251,352,6007,15284,4854,9140,7685,1401,658,543,170
141941,"3,488.10",64352,8381,707,5336,26243,6806,12799,12327,2291,920,1993,345
69775,"10,876.16",16949,2914,67,2402,6226,1566,5902,2881,844,529,124,73
75836,"16,033.04",15728,2348,95,2431,4122,1351,3367,2539,752,290,179,104
276550,"13,980.34",56986,14189,1411,12122,31484,7627,16807,13793,2377,2345,1060,773
64646,"36,153.77",10812,2368,144,1440,5026,3509,2861,2522,1502,460,1110,274
183194,"4,617.88",54150,8613,603,7631,18629,7963,10129,11120,2347,736,3169,430
112652,"10,938.54",7662,1909,161,2095,6237,2660,3420,3198,957,395,600,146
521483,"36,641.72",100252,33926,2831,31838,60892,18486,34246,30552,6079,5821,1722,1356
147108,"61,170.84",16823,4564,218,3461,9555,2258,4848,4428,950,561,662,163
130483,"130,511.64",16666,2746,113,1901,10157,2035,5020,3328,1442,908,384,154
311109,"4,323.52",46917,14021,5064,15573,36462,6056,10481,15840,11041,1522,2070,855
73574,"15,311.75",9083,3383,152,3405,4494,1154,2445,2827,484,330,305,82
138958,"25,074.74",16371,3375,120,3052,13266,3636,6604,4765,2365,1172,243,205
273312,"8,266.71",60118,8143,1380,8865,31112,9960,13565,18756,4450,2085,4204,1037
427405,"10,960.76",87855,20124,2614,20837,53725,23122,23663,24564,5924,2817,7226,788
124588,"55,239.88",8533,1605,53,1021,7313,720,2982,2204,625,405,242,78
309267,"15,015.45",31219,13128,2286,13648,26342,8446,10668,14056,3849,1410,907,455
93618,"21,696.91",13011,3555,207,3731,6031,1589,2951,3213,1214,532,194,141
93520,"5,143.56",14506,2895,367,3621,7215,3341,4050,3360,1910,700,543,755
109661,"8,009.84",11448,3712,251,3236,6046,3034,3525,3168,803,362,695,160
86988,"11,070.03",30653,6923,240,4438,10632,3037,7200,5246,1084,465,454,163
184903,"9,948.44",33196,8216,979,6678,18177,5701,9309,7712,1631,1449,761,399
178557,"27,745.02",31607,5473,163,4815,13633,2937,10440,6805,2059,1086,309,221
203543,"36,392.21",27456,10536,583,9182,21768,5475,12073,11213,2002,1665,610,399
123798,"4,069.94",22483,4681,507,3678,11435,5619,5408,7896,2619,720,10633,313
220382,"2,179.60",47448,14357,5553,14331,27899,7270,8525,32240,7535,1251,5166,583
97477,"7,888.09",15077,2351,173,2050,8954,2113,3830,2783,906,488,248,167
151115,"30,885.19",20236,4754,416,3095,16488,5335,7847,6841,1255,760,1519,226
,"14,038.20",61424,14732,999,18824,38811,19097,20393,20859,7033,2989,6672,768
107513,"103,929.92",23777,2748,121,1816,10005,4927,6882,3581,1652,633,531,213
183470,"237,035.46",35435,2806,78,2223,12104,3523,7161,4939,4829,709,361,244
87896,"4,506.86",9829,2866,235,2188,5684,1105,2626,2116,575,345,314,121
253299,"71,566.45",37980,9781,681,10267,14336,5069,10217,8279,1276,690,1316,304
75846,"178,545.43",9889,894,24,517,4513,936,2517,1871,1676,239,119,75
166016,"27,905.68",15108,7549,365,6554,9909,5010,6562,6250,956,630,1718,254
168201,"33,877.56",20613,5398,399,4247,14017,4973,6032,6423,1930,1033,1733,327
115658,"4,661.37",26918,5821,357,4491,7335,4922,5813,4836,1211,796,1678,153
141835,"58,876.86",9851,3027,219,3040,8473,5887,5227,6085,2021,900,948,280
369953,"116,637.63",58506,8175,333,6132,22658,9019,13529,9958,2770,1689,1620,378
329222,"91,665.60",60440,8306,340,5690,22847,10152,12993,9698,3299,1722,2110,387
103733,"6,603.52",27412,3157,210,2591,6891,4380,5046,3981,1565,407,312,205
113758,"78,623.08",11861,2782,87,1826,6685,2538,3676,3894,1034,481,732,164
92866,"19,634.81",5434,2261,86,1791,3443,902,2448,2281,563,255,198,67
107108,"20,279.69",21186,2996,109,2709,7802,2105,4678,3962,829,524,395,99
47734,"5,038.96",6674,1321,44,884,2254,957,1674,1479,249,76,344,43
7355,289.78,5105,1306,256,888,4076,3319,1160,8853,1635,698,1707,154
173059,"32,908.17",27452,5816,472,4099,19303,5928,8168,7248,1719,986,1843,324
115207,"112,582.88",18568,3081,113,1361,10737,3556,5388,4029,1219,439,439,136
70608,"73,173.94",12461,1275,37,553,5675,1190,3823,1933,723,362,159,95
61257,"8,028.28",15588,2257,390,1675,7862,2521,3892,2592,850,425,610,249
531056,"354,618.74",67865,9087,377,5099,36411,9994,19088,15532,4625,1670,797,634
82837,"116,451.96",9975,3628,73,1655,2760,1284,2390,2655,380,279,182,43
512870,"222,606.26",102729,15560,458,10517,44899,12858,30399,16897,4433,3001,1582,708
318495,"9,864.42",37842,15510,2684,15032,26544,9587,16235,11474,2878,1851,3068,724
55453,"117,738.81",6398,1423,11,958,2158,871,1450,1555,493,238,87,42
106542,"4,497.07",20344,2982,327,3314,13145,5253,5366,7671,2181,994,1005,789
363443,"8,651.89",46469,15185,5686,16747,40721,8790,14576,18159,7693,1951,1320,980
144812,"21,247.56",18004,4375,309,4961,9284,3526,6330,5073,2554,1029,596,969
105468,"19,747.51",24406,5093,174,3899,10721,4811,6964,4870,1024,805,1014,182
97447,"7,276.85",13510,3990,424,4722,12787,6319,6507,5571,846,756,391,154
77892,"66,259.01",13479,3036,163,2737,6454,1230,3085,2645,693,528,232,97
93641,"83,674.27",17068,2427,153,1224,10852,2594,4794,3484,1105,441,350,189
248659,"7,803.11",75658,11971,1801,10737,24293,13229,13180,12061,4710,1689,2827,815
71166,"79,245.21",6986,1638,51,1199,2445,660,1611,1832,830,314,81,51
302145,"56,799.22",82688,16896,1085,13190,32189,14599,20535,15934,3488,3303,1617,862
111676,"31,485.09",17314,2999,324,2651,13585,2668,6289,4123,668,789,425,142
312789,"9,795.66",31621,11705,1607,13286,19359,9240,12531,8839,1924,1254,835,494
338559,"5,552.50",51301,14149,3722,18112,36515,8194,11545,17776,6718,1806,2794,652
83879,"65,128.21",7454,2134,36,1556,3566,962,2005,2021,646,202,238,66
132384,"81,434.66",11571,2173,50,1364,7134,1540,3642,3142,487,310,289,106
87183,"35,436.57",7538,2080,25,1376,3016,884,2240,2046,356,99,222,46
115734,"51,444.15",11092,3279,77,1871,4993,1501,3535,2870,729,501,279,132
137703,"47,568.68",13309,3787,199,3302,7356,3257,4477,4036,1590,645,730,663
136384,"176,025.58",20008,5543,175,2168,8709,3165,5157,5143,1468,561,611,292
86760,"50,978.80",13863,2996,192,2409,5036,1927,3621,2082,517,280,198,116
333937,"240,767.65",20085,10345,283,5297,20417,6322,11752,9754,1834,1508,1722,256
113582,"38,696.29",15956,2566,260,2283,10597,2193,4578,3703,1168,746,624,189
99373,"4,415.89",19202,2343,290,1659,10693,3954,5121,4172,1409,616,580,278
125185,"7,977.76",16884,2871,172,2501,6915,2964,4323,3173,960,494,801,202
52504,"214,235.65",5711,966,14,722,2298,640,1554,1541,602,158,80,47
130863,"9,506.07",15435,3881,145,2939,7865,1617,4424,4845,941,590,927,158
312450,"8,082.94",40819,14516,4420,17979,29303,5612,10173,14930,5684,1546,1213,731
124719,"33,898.56",17686,5680,483,6981,9298,2184,4694,5069,1079,640,250,216
74953,"3,407.29",10746,2082,168,2227,5293,1456,2934,2590,813,331,489,122
112021,"10,962.93",22578,3945,266,3519,7094,3889,4998,3494,1105,517,632,176
117837,"4,702.77",23198,3017,234,2313,12247,5274,5938,5604,1959,841,1336,300
111590,"7,423.27",13432,1743,81,1750,5378,3527,3299,2561,740,416,736,129
95369,"54,644.96",15704,3049,217,2496,7850,2697,4883,3927,1081,499,793,178
152419,"43,753.91",21501,4316,112,2433,11379,3537,7070,4662,1137,639,588,181
108019,"35,670.31",14741,3033,336,2018,12800,3111,5811,4380,916,693,365,292
59711,"37,771.06",6454,1910,91,1996,5199,1280,2598,2462,802,398,421,134
81991,"52,650.63",12975,2056,50,1350,3513,762,2416,2037,453,258,135,58
75802,"16,568.86",12572,1963,63,1268,4501,1571,2619,2549,393,260,371,38
199953,"14,234.74",39975,6488,494,5353,16892,7323,12643,8154,2211,1564,893,543
113513,"11,997.63",10834,2863,334,2420,7175,2406,4187,2821,1038,394,286,180
121655,"4,053.68",39606,5171,610,4141,11289,6531,6240,6024,2042,1010,1895,343
82625,"2,532.09",17019,2488,140,2287,6703,2576,4685,2952,852,504,1330,157
101704,"9,901.87",16552,4930,538,4309,13753,2490,6904,4924,902,774,366,174
97289,"17,418.83",20714,2606,300,1638,12741,2716,6211,4159,1518,738,909,280
254549,"4,734.38",32315,10409,2472,12850,32558,7057,10869,14101,4683,1905,1557,550
137251,"27,093.26",23020,3665,160,2129,9809,4047,5699,6002,1917,816,762,218
121637,"253,493.94",17919,2423,73,1422,10215,3197,5638,3942,1364,510,324,190
246138,"1,906.35",44916,13518,5441,13511,34371,4359,9191,21160,6111,1231,6825,888
125500,"7,909.52",29398,3939,268,3176,11254,4890,7065,3625,1907,866,765,295
89118,"131,116.95",12490,1789,32,1122,3856,1168,2456,2180,574,292,162,62
182531,"1,640.40",30347,8033,2256,14006,21999,7838,6705,15712,6841,1421,4220,496
85454,"59,177.75",4890,2473,62,2303,3196,1662,2327,2195,297,300,215,51
255368,"2,958.85",41382,13016,6135,17157,32125,6256,10267,17058,5844,1412,2207,786
81964,"3,053.75",18815,3089,406,3757,9623,4570,4466,3871,1445,495,755,258
157871,"130,793.68",25800,3476,155,1865,7596,4214,5313,4776,1518,599,726,160
238950,"5,046.91",25316,9549,1777,8169,17723,3734,5510,7942,2974,883,651,286
91036,"21,526.53",9592,2082,37,1324,3527,753,2849,1979,533,305,241,93
91818,"9,386.11",36271,4077,232,3493,9476,5746,7564,5232,1564,576,803,258
90260,"2,972.40",20366,3097,408,2864,12324,3234,6136,4373,1729,664,488,415
